Start,End,Condition,Num,Text
3.3061999999284746,5.271899999976158,2,5,あしました
8.229899999976158,9.753299999952317,2,5,鍋
11.603799999952317,14.499299999952317,2,5,やっぱりでしょう ヘルメットとしての
18.065199999928474,18.929699999928474,2,5,やっぱり
22.1035,26.192099999904634,2,5,じゃあ あのあれをあの朝だよカンカンカン
28.431699999928476,31.504199999928474,2,5,音を出す道具としての
53.53169999992848,55.502299999952314,2,5,ベッド的なね 家で
64.8885,73.08689999997615,2,5,あと丸い鍋だったら 中華鍋 だったらの針とか付けたらおしゃれな時計みたいになりそうですか
74.57429999995232,76.62489999997615,2,5,飾り物としての鍋
95.95229999995232,97.309,2,5,私もあるよ
107.88709999990462,109.3132999999523,2,5,あじさい
111.99539999997616,115.4635,2,5,アビス 珍田紫陽花 ソーダ
118.53599999999999,124.71889999997614,2,5,あとあれは あのラケット 珠緒 跳ね返せ ソーダからスポーツに使う
129.83239999997616,131.14079999995232,2,5,テニスとかできそうじゃない
140.118,142.87989999997617,2,5,確かに確かに
149.48709999990464,152.09009999990465,2,5,後はやっぱ 普通に収納ボックス
154.81759999990464,157.49059999990465,2,5,なんか 家事とかになってもいきそうじゃない
187.08479999995234,189.25139999997617,2,5,なりそう
194.52079999995232,197.74159999990465,2,5,そこがあって 起きそうだからあの船とかいかだに使う
199.2975,200.85609999990464,2,5,のるのる
225.30589999997616,228.23679999995232,2,5,とらわれてるって
248.12979999995233,250.03489999997618,2,5,ファッションとしての帽子ってこと
254.96839999997616,258.0636999999285,2,5,行ったのはあれだからあの坊やって何だ
262.222,263.7520999999046,2,5,後は
273.39709999990464,277.50289999997614,2,5,ベレー ベレー 最寄り あれじゃないすか ハットじゃない
284.61139999997613,285.7078999999761,2,5,そうだよね
287.66169999992843,290.43199999999996,2,5,前提 ってやつ 前提が違ったってやつこれ
313.41589999997615,315.6995999999046,2,5,植物 沸騰させる予定あんの
322.6305,324.13149999999996,2,5,後は
326.8132999999523,328.54339999997615,2,5,04
333.09689999997613,336.6965999999046,2,5,あの 育てると 調理 一連 行きますよって
353.97189999997613,358.28499999999997,2,5,なるほどなるほど あれで全てがね
371.13599999999997,373.90619999992845,2,5,まだ何か 溶かす 溶かすとかがまだ残ってる
376.27689999997614,378.1427999999523,2,5,溶かして何か
381.84919999992843,387.08549999999997,2,5,あ そっか 原材料に戻るだけか
388.89219999992844,390.3095999999046,2,5,原型
392.0930999999046,400.73449999999997,2,5,後は丸井からあの なんか丸い あれを書きたいとき 鍋の底をなぞればいい
423.76599999999996,425.69739999997614,2,5,そうだな 鍋
432.0538999999761,434.32919999992845,2,5,確かにナッツ
