Start,End,Condition,Num,Id
3.353,19.724500000000003,0,3,0
19.724500000000003,20.156299999952317,0,3,1
20.156299999952317,47.59319999992847,0,3,0
47.59319999992847,48.15329999995232,0,3,1
48.15329999995232,49.11979999995232,0,3,2
49.11979999995232,49.67029999995232,0,3,1
49.67029999995232,75.9245,0,3,0
75.9245,77.30479999995231,0,3,1
77.30479999995231,99.25939999997615,0,3,0
99.25939999997615,100.37389999997615,0,3,1
100.37389999997615,139.45169999992848,0,3,0
139.45169999992848,141.32129999995232,0,3,1
141.32129999995232,141.56639999997617,0,3,0
141.56639999997617,142.02060000002385,0,3,1
142.02060000002385,348.2062999999523,0,3,0
348.2062999999523,348.548,0,3,1
348.548,449.97089999997615,0,3,0
449.97089999997615,452.42860000002383,0,3,5
