Start,End,Condition,Num,Text
9.028700000017881,9.75090000000596,2,2,鍋,tamura
13.279599999994039,15.653400000005961,2,2,ほら,tamura
27.691200000017883,29.460599999994038,2,2,みたいなもん,tamura
36.884200000017884,38.254700000017884,2,2,オーディオがあります,tamura
49.82030000001192,51.26140000000596,2,2,猫の家が作れる,tamura
55.69030000001192,58.13809999999404,2,2,縦に長いからね これ以外の生徒だと厳しいです,tamura
74.68980000001191,76.97559999999405,2,2,ディケイディケイ,tamura
104.63340000000596,106.15970000001788,2,2,どういうこと,tamura
121.94240000000596,122.7395,2,2,あーはいはいはい,tamura
126.53230000001192,127.55709999999404,2,2,妥協できる,tamura
140.21070000001788,140.8955,2,2,フリスビー,tamura
142.0675,143.70520000001787,2,2,本当にありがとうね,tamura
157.3395,158.39490000000595,2,2,Siri,tamura
169.0615,171.2003000000119,2,2,中野 火に強いから,tamura
172.30740000000597,175.72580000001193,2,2,重たいか なんか 費用 一から身を守る シールドとして中,tamura
178.759,182.5548000000119,2,2,気を使う 一強くていい場所,tamura
200.78390000000596,202.4315,2,2,ちょっとでかい 一寸法師,tamura
220.95540000000597,225.01720000001788,2,2,頑張って バンジージャンプで使えないかなと思ったけど無理そうです,tamura
230.2543000000119,231.7925,2,2,無理,tamura
233.1315,234.072,2,2,ショップリスト,tamura
244.9277000000179,246.17340000000596,2,2,普通に開いて,tamura
291.82590000000596,294.24390000000597,2,2,土鍋とかだったらなんか また それはそれで,tamura
296.0292000000179,298.2447000000179,2,2,茹でたパッションができた,tamura
300.0645,300.93490000000594,2,2,そんなことあるか,tamura
311.06059999999405,312.2587000000179,2,2,持ち手があるから,tamura
318.2875,319.28830000001193,2,2,いろいろ,tamura
322.658900000006,324.8427000000179,2,2,水はけは悪いでしょうけどね,tamura
339.37220000001787,341.09009999999404,2,2,茹でた後で洗う仕組み,tamura
349.59040000000596,350.528099999994,2,2,ラー 鍋,tamura
355.4317000000179,356.83380000001193,2,2,リンが出ますが,tamura
374.288099999994,376.16570000001786,2,2,JK が,tamura
385.57790000000597,386.434599999994,2,2,池田,tamura
402.37859999999404,404.1378000000119,2,2,絵を書きたい時に,tamura
405.429599999994,407.8957000000179,2,2,同じ同じ大きさはかっこ 問いかけてます 予想,tamura
412.68390000000596,413.0083000000119,2,2,セットして,tamura
