Start,End,Condition,Num,Status
3.336,4.746299999952316,2,4,sideparticipant,ishibashi
4.746299999952316,7.621900000095367,2,4,speaker,ishibashi
7.621900000095367,41.659,2,4,sideparticipant,ishibashi
41.659,43.438900000095366,2,4,speaker,ishibashi
43.438900000095366,47.88260000014305,2,4,sideparticipant,ishibashi
47.88260000014305,52.41279999995231,2,4,speaker,ishibashi
52.41279999995231,69.38760000014305,2,4,sideparticipant,ishibashi
69.38760000014305,72.77229999995231,2,4,addressee,ishibashi
72.77229999995231,76.48270000004769,2,4,sideparticipant,ishibashi
76.48270000004769,77.56179999995231,2,4,speaker,ishibashi
77.56179999995231,111.45120000004768,2,4,sideparticipant,ishibashi
111.45120000004768,113.86660000014305,2,4,speaker,ishibashi
113.86660000014305,124.56870000004768,2,4,sideparticipant,ishibashi
124.56870000004768,127.19940000009537,2,4,speaker,ishibashi
127.19940000009537,132.8325,2,4,sideparticipant,ishibashi
132.8325,135.15060000014307,2,4,speaker,ishibashi
135.15060000014307,136.65050000000002,2,4,sideparticipant,ishibashi
136.65050000000002,138.23729999995234,2,4,speaker,ishibashi
138.23729999995234,140.21190000009537,2,4,sideparticipant,ishibashi
140.21190000009537,141.86710000014307,2,4,speaker,ishibashi
141.86710000014307,161.9634000000954,2,4,sideparticipant,ishibashi
161.9634000000954,163.274,2,4,speaker,ishibashi
163.274,168.75400000000002,2,4,sideparticipant,ishibashi
168.75400000000002,169.00960000014305,2,4,addressee,ishibashi
169.00960000014305,190.05,2,4,sideparticipant,ishibashi
190.05,191.1124000000954,2,4,speaker,ishibashi
191.1124000000954,206.32729999995232,2,4,sideparticipant,ishibashi
206.32729999995232,208.4369000000954,2,4,speaker,ishibashi
208.4369000000954,214.59060000014307,2,4,sideparticipant,ishibashi
214.59060000014307,216.43779999995232,2,4,speaker,ishibashi
216.43779999995232,229.2342000000477,2,4,sideparticipant,ishibashi
229.2342000000477,231.4572000000477,2,4,speaker,ishibashi
231.4572000000477,244.71760000014305,2,4,sideparticipant,ishibashi
244.71760000014305,247.28529999995231,2,4,speaker,ishibashi
247.28529999995231,253.98979999995234,2,4,sideparticipant,ishibashi
253.98979999995234,255.6447000000477,2,4,speaker,ishibashi
255.6447000000477,258.0585,2,4,sideparticipant,ishibashi
258.0585,259.7462000000477,2,4,speaker,ishibashi
259.7462000000477,271.7457000000477,2,4,sideparticipant,ishibashi
271.7457000000477,273.1832000000477,2,4,speaker,ishibashi
273.1832000000477,284.59000000000003,2,4,sideparticipant,ishibashi
284.59000000000003,290.2436000001431,2,4,speaker,ishibashi
290.2436000001431,303.9132000000477,2,4,sideparticipant,ishibashi
303.9132000000477,305.3577999999523,2,4,speaker,ishibashi
305.3577999999523,314.1007000000477,2,4,sideparticipant,ishibashi
314.1007000000477,315.7185,2,4,speaker,ishibashi
315.7185,351.09910000014304,2,4,sideparticipant,ishibashi
351.09910000014304,353.6949000000954,2,4,speaker,ishibashi
353.6949000000954,357.7752999999523,2,4,sideparticipant,ishibashi
357.7752999999523,358.3137000000477,2,4,speaker,ishibashi
358.3137000000477,363.4425,2,4,sideparticipant,ishibashi
363.4425,365.33140000009536,2,4,speaker,ishibashi
365.33140000009536,380.689,2,4,sideparticipant,ishibashi
380.689,381.3657000000477,2,4,addressee,ishibashi
381.3657000000477,399.4227999999523,2,4,sideparticipant,ishibashi
399.4227999999523,402.3059000000954,2,4,speaker,ishibashi
402.3059000000954,403.69100000000003,2,4,sideparticipant,ishibashi
403.69100000000003,405.65479999995233,2,4,speaker,ishibashi
405.65479999995233,412.6222999999523,2,4,sideparticipant,ishibashi
412.6222999999523,416.5349000000954,2,4,speaker,ishibashi
416.5349000000954,428.358,2,4,sideparticipant,ishibashi
428.358,434.0255,2,4,speaker,ishibashi
434.0255,437.90000000000003,2,4,sideparticipant,ishibashi
