Start,End,Condition,Num,Text
22.82259999999404,23.97539999999106,1,3,カレー鍋もあるかな
38.342999999999996,39.70659999999404,1,3,いいかも
44.07679999999702,47.2735,1,3,鍋の大きさによって音の変わりそう
56.26859999999404,57.262899999991056,1,3,ボール だったからボール
59.95169999998808,60.87509999999404,1,3,正しくない
75.861,77.5925,1,3,この季節だと
107.62779999999702,110.20629999999703,1,3,廊下に立ってなさいの時に持たせるやつ
111.763,113.56150000000001,1,3,アームズのペコ
116.74009999999404,121.6845,1,3,拷問の道具とチゲ鍋の鍋料理
126.849,128.7245,1,3,筋トレに使う
130.05349999999999,131.97109999999404,1,3,水入れて
134.74919999998806,137.19939999999104,1,3,傾けたら溢れるした
139.01639999999105,141.20519999998808,1,3,家より厳しい 厳しい筋トレができる
146.65909999999403,149.73639999999105,1,3,まあそう思う 鍋の材質によって
177.53519999998807,178.9425,1,3,何ですか
204.54379999999702,206.18569999998806,1,3,難しいなあ
210.00069999998806,211.393,1,3,怒ると無視する
217.10539999999105,218.00549999999998,1,3,家庭にもある
228.02719999998808,229.53,1,3,目覚ましが一番いい
237.03109999999404,238.194,1,3,検索
239.973799999997,241.17729999999702,1,3,鹿になると
243.2355,246.13889999999105,1,3,なんか怖い怖い
248.72,249.31139999999104,1,3,快適な使い方
266.81389999999107,267.8816999999881,1,3,フライパン として
282.9415999999941,284.31729999999703,1,3,花瓶として使う
298.457,300.0778999999911,1,3,お茶 血糖値
306.04209999999404,307.32139999999106,1,3,ご飯食べな
310.6341999999881,311.9406999999881,1,3,成績 的に
314.583,315.40529999999706,1,3,足りなかったりする
317.38079999999707,318.3911999999881,1,3,ナイナイ
340.12389999999107,342.4933999999911,1,3,なぜ考える
343.91729999999706,345.64009999999405,1,3,夜中の渡辺さん
351.89059999999404,353.68129999999707,1,3,キャッチ
355.10029999999705,356.6635,1,3,新しいやつ買った
366.6101999999881,368.821,1,3,ものじゃないのか
372.3446999999881,375.5053999999911,1,3,真鍋のジェームスから
379.13750000000005,380.45059999999404,1,3,車
383.4478999999911,384.85039999999105,1,3,HIKAKIN
393.9298999999911,395.36179999999706,1,3,鍋
423.4366999999881,425.86439999999106,1,3,何も使わんからな
435.63559999999404,436.9443999999911,1,3,お茶 沸かす
